match_id,player,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh,player1,player2,date,year,month,player1_rank,player2_rank
20190307-m-indian-wells-masters-r128-martin-klizan-mischa-zverev,2,2,40,2,1,27,16,13,8,6,5,25,5,6,2,2,19,5,13,martin-klizan,mischa-zverev,2019-03-07,2019,3,50.0,75.0
20190307-m-indian-wells-masters-r128-martin-klizan-mischa-zverev,1,2,25,2,1,14,12,11,8,0,0,40,16,7,3,2,7,2,4,martin-klizan,mischa-zverev,2019-03-07,2019,3,50.0,75.0
20190307-m-indian-wells-masters-r128-martin-klizan-mischa-zverev,2,1,18,1,2,9,5,9,3,2,0,21,5,1,0,0,10,0,8,martin-klizan,mischa-zverev,2019-03-07,2019,3,50.0,75.0
20190307-m-indian-wells-masters-r128-felix-auger-aliassime-cameron-norrie,1,Total,47,6,0,39,31,8,5,2,2,41,17,17,9,2,17,9,8,auger-aliassime,cameron-norrie,2019-03-07,2019,3,,48.0
20190307-m-indian-wells-masters-r128-ilya-ivashka-guido-andreozzi,2,Total,85,4,4,45,30,40,21,5,2,80,39,21,13,4,34,17,13,ilya-ivashka,guido-andreozzi,2019-03-07,2019,3,96.0,88.0
20190307-m-indian-wells-masters-r128-ilya-ivashka-guido-andreozzi,1,Total,80,6,6,46,26,34,15,6,2,85,34,18,11,1,36,17,13,ilya-ivashka,guido-andreozzi,2019-03-07,2019,3,96.0,88.0
20190307-m-indian-wells-masters-r128-felix-auger-aliassime-cameron-norrie,2,Total,41,1,2,27,16,14,8,3,0,47,11,8,5,2,16,9,5,auger-aliassime,cameron-norrie,2019-03-07,2019,3,,48.0
20190307-m-indian-wells-masters-r128-felix-auger-aliassime-cameron-norrie,1,1,25,5,0,21,17,4,2,1,1,21,7,13,7,1,10,6,4,auger-aliassime,cameron-norrie,2019-03-07,2019,3,,48.0
20190307-m-indian-wells-masters-r128-felix-auger-aliassime-cameron-norrie,2,1,21,1,1,11,8,10,6,1,0,25,6,4,2,1,5,0,4,auger-aliassime,cameron-norrie,2019-03-07,2019,3,,48.0
20190307-m-indian-wells-masters-r128-felix-auger-aliassime-cameron-norrie,1,2,22,1,0,18,14,4,3,1,1,20,10,4,2,1,7,3,4,auger-aliassime,cameron-norrie,2019-03-07,2019,3,,48.0
20190307-m-indian-wells-masters-r128-felix-auger-aliassime-cameron-norrie,2,2,20,0,1,16,8,4,2,2,0,22,5,4,3,1,11,9,1,auger-aliassime,cameron-norrie,2019-03-07,2019,3,,48.0
20190307-m-indian-wells-masters-r128-ilya-ivashka-guido-andreozzi,1,2,32,3,2,21,10,11,4,5,2,41,19,8,4,1,12,6,4,ilya-ivashka,guido-andreozzi,2019-03-07,2019,3,96.0,88.0
20190307-m-indian-wells-masters-r128-ilya-ivashka-guido-andreozzi,2,2,41,3,3,19,12,22,10,2,0,32,18,10,6,1,16,5,8,ilya-ivashka,guido-andreozzi,2019-03-07,2019,3,96.0,88.0
20190307-m-indian-wells-masters-r128-martin-klizan-mischa-zverev,1,Total,46,5,4,25,22,21,14,0,0,58,26,16,6,5,14,3,7,martin-klizan,mischa-zverev,2019-03-07,2019,3,50.0,75.0
20190307-m-indian-wells-masters-r128-ilya-ivashka-guido-andreozzi,1,1,48,3,4,25,16,23,11,1,0,44,15,10,7,0,24,11,9,ilya-ivashka,guido-andreozzi,2019-03-07,2019,3,96.0,88.0
20190307-m-indian-wells-masters-r128-ilya-ivashka-guido-andreozzi,2,1,44,1,1,26,18,18,11,3,2,48,21,11,7,3,18,12,5,ilya-ivashka,guido-andreozzi,2019-03-07,2019,3,96.0,88.0
20190307-m-indian-wells-masters-r128-martin-klizan-mischa-zverev,1,1,21,3,3,11,10,10,6,0,0,18,10,9,3,3,7,1,3,martin-klizan,mischa-zverev,2019-03-07,2019,3,50.0,75.0
20190307-m-indian-wells-masters-r128-marcos-giron-jeremy-chardy,2,Total,104,8,10,59,44,45,19,11,10,82,24,31,20,3,65,28,27,marcos-giron,jeremy-chardy,2019-03-07,2019,3,217.0,37.0
20190307-m-indian-wells-masters-r128-marcos-giron-jeremy-chardy,2,2,59,5,6,31,24,28,9,5,4,42,13,16,10,1,38,17,15,marcos-giron,jeremy-chardy,2019-03-07,2019,3,217.0,37.0
20190307-m-indian-wells-masters-r128-marcos-giron-jeremy-chardy,1,Total,82,4,4,45,36,37,22,3,2,104,41,7,1,2,20,11,5,marcos-giron,jeremy-chardy,2019-03-07,2019,3,217.0,37.0
20190307-m-indian-wells-masters-r128-marcos-giron-jeremy-chardy,1,1,40,2,3,19,16,21,13,1,1,45,15,4,1,1,10,5,2,marcos-giron,jeremy-chardy,2019-03-07,2019,3,217.0,37.0
20190307-m-indian-wells-masters-r128-marcos-giron-jeremy-chardy,2,1,45,3,4,28,20,17,10,6,6,40,11,15,10,2,27,11,12,marcos-giron,jeremy-chardy,2019-03-07,2019,3,217.0,37.0
20190307-m-indian-wells-masters-r128-martin-klizan-mischa-zverev,2,Total,58,3,3,36,21,22,11,8,5,46,10,7,2,2,29,5,21,martin-klizan,mischa-zverev,2019-03-07,2019,3,50.0,75.0
20190307-m-indian-wells-masters-r128-marcos-giron-jeremy-chardy,1,2,42,2,1,26,20,16,9,2,1,59,26,3,0,1,10,6,3,marcos-giron,jeremy-chardy,2019-03-07,2019,3,217.0,37.0
20190308-m-indian-wells-masters-r128-alexei-popyrin-jaume-munar,1,Total,75,3,5,44,28,31,16,6,4,78,35,29,19,6,36,19,12,alexei-popyrin,jaume-munar,2019-03-08,2019,3,131.0,61.0
20190308-m-indian-wells-masters-r128-alexei-popyrin-jaume-munar,2,Total,78,5,1,42,28,36,15,5,1,75,31,23,11,7,30,22,7,alexei-popyrin,jaume-munar,2019-03-08,2019,3,131.0,61.0
20190308-m-indian-wells-masters-r128-taro-daniel-dusan-lajovic,2,2,34,2,1,26,16,8,5,4,3,31,13,16,8,5,13,8,4,taro-daniel,dusan-lajovic,2019-03-08,2019,3,71.0,45.0
20190308-m-indian-wells-masters-r128-taro-daniel-dusan-lajovic,2,1,45,2,0,30,17,15,9,2,0,53,23,16,9,4,21,7,14,taro-daniel,dusan-lajovic,2019-03-08,2019,3,71.0,45.0
20190308-m-indian-wells-masters-r128-denis-istomin-robin-haase,2,2,20,4,1,13,12,7,4,0,0,14,8,13,5,4,2,1,0,denis-istomin,robin-haase,2019-03-08,2019,3,101.0,68.0
20190308-m-indian-wells-masters-r128-taro-daniel-dusan-lajovic,1,1,53,2,1,40,24,13,6,7,5,45,19,10,7,1,23,9,13,taro-daniel,dusan-lajovic,2019-03-08,2019,3,71.0,45.0
20190308-m-indian-wells-masters-r128-taro-daniel-dusan-lajovic,2,Total,79,4,1,56,33,23,14,6,3,84,36,32,17,9,34,15,18,taro-daniel,dusan-lajovic,2019-03-08,2019,3,71.0,45.0
20190308-m-indian-wells-masters-r128-taro-daniel-dusan-lajovic,1,Total,84,2,2,59,37,25,11,10,6,79,32,18,10,5,32,13,17,taro-daniel,dusan-lajovic,2019-03-08,2019,3,71.0,45.0
20190308-m-indian-wells-masters-r128-alexei-popyrin-jaume-munar,2,1,46,3,1,28,20,18,7,2,1,45,18,14,7,4,18,14,3,alexei-popyrin,jaume-munar,2019-03-08,2019,3,131.0,61.0
20190308-m-indian-wells-masters-r128-alexei-popyrin-jaume-munar,2,2,32,2,0,14,8,18,8,3,0,30,13,9,4,3,12,8,4,alexei-popyrin,jaume-munar,2019-03-08,2019,3,131.0,61.0
20190308-m-indian-wells-masters-r128-alexei-popyrin-jaume-munar,1,2,30,2,2,17,10,13,7,3,2,32,16,16,8,6,17,9,6,alexei-popyrin,jaume-munar,2019-03-08,2019,3,131.0,61.0
20190308-m-indian-wells-masters-r128-taro-daniel-dusan-lajovic,1,2,31,0,1,19,13,12,5,3,1,34,13,8,3,4,9,4,4,taro-daniel,dusan-lajovic,2019-03-08,2019,3,71.0,45.0
20190308-m-indian-wells-masters-r128-denis-istomin-robin-haase,1,2,14,3,0,10,6,4,0,3,1,20,4,6,1,2,6,3,3,denis-istomin,robin-haase,2019-03-08,2019,3,101.0,68.0
20190308-m-indian-wells-masters-r128-alexei-popyrin-jaume-munar,1,1,45,1,3,27,18,18,9,3,2,46,19,13,11,0,19,10,6,alexei-popyrin,jaume-munar,2019-03-08,2019,3,131.0,61.0
